item,dimension,lib_is_gov,old variable name,tang_dimension,,
increase_gov_spending_1938,economic,1,,,,
increase_gov_spending_1939,economic,1,,,,
increase_oldage_pensions,economic,1,,,,
inflation_freezepollutincntrl,economic,1,,,,
inflation_spending_cuts,economic,1,,,,
issue_21daystrike,economic,1,,union,,
issue_3percentstates,economic,1,,,,
issue_4day_workweek,economic,1,,,,
issue_5percentsurtax_rich,economic,1,,,,
issue_deficit_taxes,economic,1,,,,
issue_environment,economic,1,,,,
issue_fedaidschools,economic,1,,,,
issue_govt_own_banks,economic,1,,,,
issue_govt_own_coal,economic,1,,,,
issue_govt_own_electric,economic,1,,,,
issue_govt_own_railroads,economic,1,,,,
issue_govt_regulate_electric,economic,1,,,,
issue_healthreform_cces,economic,1,,,,
issue_healthreform_noncces1,economic,1,,,,
issue_healthreform_noncces2,economic,1,,,,
issue_highways,economic,1,,,,
issue_joinunion,economic,1,,union,,
issue_labor_strict,economic,1,,,,
issue_max_tax_25,economic,1,,,,
issue_max_tax_25to35,economic,1,,,,
issue_max_tax_35,economic,1,,,,
issue_max_tax_50,economic,1,,,,
issue_minimumage1961,economic,1,,,,
issue_minwage_060,economic,1,,,,
issue_minwage_065,economic,1,,,,
issue_minwage_075,economic,1,,,,
issue_minwage_1,economic,1,,,,
issue_minwage_125,economic,1,,,,
issue_minwage150,economic,1,,,,
issue_minwage150_amt,economic,1,,,,
issue_monopoly_unions,economic,1,,union,,
issue_police_strike,economic,1,,union,,
issue_police_union,economic,1,,union,,
issue_police_union_1959,economic,1,,union,,
national_healthinsurance_kasr,economic,1,,,,
national_healthinsurance,economic,1,,,,
pricefreeze_early1950s,economic,1,,,,
pricefreeze_late1950s,economic,1,,,,
pricecontrols_strict_1971,economic,1,,,,
pricecontrols_strict_1972,economic,1,,,,
pricecontrols_strict_1973,economic,1,,,,
pricecontrols_1970s,economic,1,,,,
issue_raisetaxes_250k,economic,1,,,,
issue_seatbelt,economic,1,,,,
issue_secretarywelfare,economic,1,,,,
issue_surplus_taxdecreas_1946,economic,1,,,,
issue_surplus_taxdecreas_1947,economic,1,,,,
issue_surplus_taxdecrease,economic,1,,,,
issue_tafthartley1,economic,1,,,,
issue_tafthartley2,economic,1,,,,
issue_tafthartley3,economic,1,,,,
issue_tafthartley4,economic,1,,,,
issue_taxrate_50k_income,economic,1,,,,
issue_teacher_union,economic,1,,union,,
issue_teacher_union_1959,economic,1,,union,,
issue_teacherstrike,economic,1,,union,,
issue_union_banstrikes_pblcnd,economic,1,,union,,
issue_union_reports,economic,1,,union,,
issue_unions_closedshop,economic,1,,union,,
issue_unions_unionshop,economic,1,,union,,
issue_unionwork,economic,1,,union,,
issue_workweek,economic,1,,union,,
issue_workweek_equalpay,economic,1,, ,,
jobsall,economic,1,,,,
jurisdictional_strikes,economic,1,,union,,
keystone_pipeline,economic,1,,,,
laborunions_for_or_against,economic,1,,union,,
layoffs_1988,economic,1,,,,
lightbulb_law,economic,1,,,,
limit_executives_inc,economic,1,,,,
limit_hours,economic,1,,,,
limit_income,economic,1,,,,
limit_moviestars_inc,economic,1,,,,
limit_private_wealth,economic,1,,,,
limit_profits,economic,0,,,,
littering_fine,economic,1,,,,
lottery,economic,1,,,,
lower_toptax_bracket,economic,1,,,,
mandatory_auto_insurance,economic,1,,,,
mandatory_driver_ed,economic,1,,,,
maximum_salary,economic,1,,,,
meat_rationing,economic,1,,,,
medicare_1960s,economic,1,,,,
medicare_1997,economic,1,,,,
military_plans_gv_r_prvtbsnss,economic,1,,,,
minimum_annual_income,economic,1,,,,
minimum_wage_10dollars,economic,1,,,,
minimum_wage1,economic,1,,,,
minimum_wage1995,economic,1,,,,
minimum_wage2,economic,1,,,,
minimumwage_1989,economic,1,,,,
minimumwage_2000,economic,1,,,,
monopolies,economic,1,,,,
naes2000_flattax,economic,1,,,,
naes2000_taxrich,economic,1,,,,
naes2004_estatetax,economic,1,,,,
naes2004_inequality,economic,1,,,,
naes2004_universalhealthcare,economic,1,,,,
nes_1970_inflation,economic,1,,,,
nes_electricprivate,economic,1,,,,
nes_environmental_reg_scale,economic,1,,,,
nes_pollution,economic,1,,,,
nes_senate_healthcare,economic,1,,,,
nes_senate_homeless,economic,1,,,,
nes_senate_schools,economic,1,,,,
nes_subsidizehealthcare,economic,1,,,,
nes_universalhealthcare,economic,1,,,,
nes_universalhealthcare2,economic,1,,,,
nes52_government_domore,economic,1,,,,
nixon_spending_v_taxes,economic,1,,,,
no_welfare_ablebodied,economic,1,,,,
nuclear_power,economic,1,,,,
overtime,economic,1,,,,
pew_limitghg,economic,1,,,,
powerlines_taxes,economic,1,,,,
powerlines_underground,economic,1,,,,
price_controls_farms,economic,1,,,,
public_schools_fedtax,economic,1,,,,
public_works,economic,1,,,,
Q_fund_renew_2006,economic,1,,,,
Q_fund_renew_2008,economic,1,,,,
Q_fund_renew_2009,economic,1,,,,
Q_fund_renew_2010,economic,1,,,,
Q_fund_renew_2011,economic,1,,,,
Q_fund_renew_2012,economic,1,,,,
Q_fund_renew_2013,economic,1,,,,
rationing_someproducts,economic,1,,,,
reconstruction_finance_corp,economic,1,,,,
reduce_farmspending_30per,economic,1,,,,
reduce_publicworks_20per,economic,1,,,,
reduce_school_spending_diff,economic,1,,,,
reduced_proposed_spending_por,economic,1,,,,
regulate_banks,economic,1,,,,
regulate_business,economic,1,,,,
regulate_gas,economic,1,,,,
regulate_railroads,economic,1,,,,
regulation_business_1940,economic,1,,,,
regulation_business_1941,economic,1,,,,
remove_sitins_force,economic,1,,,,
rentceiling,economic,1,,,,
right_to_work,economic,1,,,,                             
scale_back_medicaid,economic,1,reversed,,,
scale_back_welfare,economic,1,reversed,,,
school_summer_vacation,economic,1,,,,
singleunion,economic,1,,union,,
sit_down_strikes_illegal,economic,1,,union,,
slum_clearance_money,economic,1,,,,
social_security_privatiz_gllp,economic,1,,,,
social_security_privatize_abc,economic,1,,,,
social_security1,economic,1,,,,
social_security2,economic,1,,,,
social_security3,economic,1,,,,
social_security4,economic,1,,,,
social_security5,economic,1,,,,
social_security6,economic,1,,,,
social_security7,economic,1,,,,
spending_more_1984,economic,1,,,,
spending_poor_2005,economic,1,,,,
spending_publicworks_1950,economic,1,,,,
spending_socialwelfare_1950,economic,1,,,,
state_tax_education,economic,1,,,,
states_rps25percent,economic,1,,,,
statetaxes_education,economic,1,,,,
strike_public_relief,economic,1,,union,,
strike_unemployment_benefits,economic,1,,union,,
subsidize_educ_poor,economic,1,,,,
tax_gas,economic,1,,,,
taxcuts_1981,economic,1,,,,
taxcuts_vs_spending,economic,1,,,,
taxes_cancer_research,economic,1,,,,
taxes_vs_spending_1985,economic,1,,,,
taxes_vs_spending_1986,economic,1,,,,
taxes_vs_spending1938,economic,1,,,,
truman_raise_taxes,economic,1,,,,
twosides_incometax,economic,1,reversed,,,
unemployment_1980,economic,1,,,,
unemployment_1992,economic,1,,,,
unemployment_25dollars,economic,1,,,,
unemployment_insurance_fedgov,economic,1,,,,
unemployment1930s,economic,1,,,,
unions_elect_director,economic,1,,union,,
unions_legal,economic,1,,union,,
unions_public_accounting,economic,1,,union,,
unions_rightto_strike,economic,1,,union,,
unions_specialcourt_disputes,economic,1,,union,,
unions_strikes_secretvote,economic,1,,union,,
universal_healthcare,economic,1,,,,
universalhealthcare_poor,economic,1,missing,,,
utilitybill_vs_pollution,economic,1,no diff,,,
veterans_pensions1,economic,1,,,,
veterans_pensions2,economic,1,,,,
wagner_labor_act1,economic,1,,,,
wartime_regulate_profits,economic,1,,,,
wartime_takeover_businesses,economic,1,,,,
welfare_1961,economic,1,,,,
welfare_1996,economic,1,,,,
welfare_60day_residency,economic,1,,,,
welfare_equalize_pay_1968,economic,1,,,,
welfare_equalize_pay_1969,economic,1,,,,
welfare_fiveyearreq,economic,1,,,,
workers_refuse_hire_unions,economic,1,,union,,
workers_right_joinunion,economic,1,,union,,
wpa_union,economic,1,,union,,
wpa_wages,economic,1,,,,
youth_ccc,economic,1,,,,
issue_soilbank,misc,1,,,,
post_rate34,misc,1,,,,
affirmative_action_cbs,race,1,,race,,
affirmative_action_cbs2,race,0,,race,,
affirmative_action_gallup,race,1,,race,,
affirmative_action_nytimes,race,1,,race,,
affirmative_action_pew,race,1,,race,,
blacks_jobdiscrimination,race,0,,race,,
bus_segregation_required,race,1,,race,,
cces2006_affirmativeaction,race,1,,race,,
civil_rights_act,race,1,,race,,
civil_rights_law_1957,race,1,,race,,
civil_rights_public_accom,race,1,,race,,
gov_help_minorities,race,1,,race,,
housing_discrimination,race,1,,race,,
integration_pace_1962,race,1,,race,,
integration_pace_1963,race,1,,race,,
integration_pace_1964,race,1,,race,,
integration_pace_1965,race,1,,race,,
integration_pace_1966,race,1,,race,,
integration_pace_1967,race,1,,race,,
integration_pace_1968,race,1,,race,,
integration_states_decide,race,1,,race,,
interracial_marriage,race,0,,race,,
issue_busing,race,1,,race,,
issue_integrate_military,race,1,,race,,
issue_lynching1,race,1,,race,,
issue_lynching2,race,1,,race,,
issue_lynching3,race,1,,race,,
issue_lynching4,race,1,,race,,
issue_polltax,race,1,,race,,
issue_race_fairemployment1,race,1,,race,,
issue_race_fairemployment2,race,1,,race,,
issue_race_jobdiscrimination,race,1,,race,,
issue_school_desegregation,race,1,,race,,
issue_segregation,race,0,,race,,
naes2000_jobdiscblacks,race,1,,race,,
nes_affirmativeaction,race,1,,race,,
nes_gov_ensurejobs_blacks,race,1,,race,,
nes_jobs_blacks,race,1,,race,,
nes_school_busing,race,1,,race,,
nes_school_integration_A,race,1,,race,,
nes_school_integration_B,race,1,,race,,
nes_senate_helpblacks,race,0,,race,,
nes52_racediscrimination,race,1,,race,,
race_housing_laws,race,0,,race,,
race_separate_restaurants,race,0,,race,,
race_separate_schools,race,0,,race,,
school_integration,race,1,,race,,
school_integration_money,race,1,,race,,
school_integration_timing,race,1,,race,,
school_integration_washington,race,1,,race,,
train_segregation,race,1,,race,,
truman_civilrights,race,1,,race,,
abany,social,0,,,,
abortion_deformedbaby,social,0,,,,
abortion_firstthreemonths,social,0,,,,
abortion_general,social,0,,,,
abortion_healthmother,social,0,,,,
abortion_legal_nomoney,social,0,,,,
abortion_notification,social,0,,,,
abrape,social,0,,,,
assault_weapons,social,1,,,,
assisted_suicide,social,1,,,,
birthcontrol_married,social,0,,,,
cappun,social,0,,,,
cappun2,social,0,,,,
cces2006_abortion,social,0,,,,
cces2006_gaymarriageamendment,social,0,,,,
cces2006_immigration,social,1,,,,
cces2006_stemcell,social,0,,,,
communist_civilservice_ban,social,0,,,,
communist_membership_ban,social,0,,,,
communists_register,social,0,,,,
communists_register_sc,social,0,,,,
constamend_aid_paroch_schools,social,0, ,,,
constamend_ban_abortions_mmlf,social,0, ,,,
constamend_ban_allabortions,social,0, ,,,
corporal_punishment_schools,social,0,,,,
death_penalty,social,0,,,,
equal_pay_women,social,0,,,,
flag_burning,social,0,,,,
free_bc,social,1,,,,
gay_discrimination,social,0,,,,
gays_adopt,social,0,,,,
gays_teach_schools,social,0,,,,
gov_help_women,social,1,,,,
gunlaw,social,1,,,,
handgun_registration,social,1,,,,
handguns,social,1,,,,
immigration_senate,social,1,,,,
issue_18vote,social,0,,,,
issue_banalcohol,social,0,,,,
issue_birthcontrol,social,0,,,,
issue_birthcontrol_everyone,social,0,,,,
issue_era,social,1,,,,
issue_gunpermit,social,1,,,,
issue_legmarijuana,social,0,,,,
issue_triggerlock,social,1,,,,
juries_women,social,0,,,,
liquor_armycamps,social,0,,,,
liquor_limits,social,0,,,,
liquor_officersclubs,social,0,,,,
naes2000_gaysmilitary,social,0,,,,
naes2000_jobdiscgays,social,1,,,,
naes2004_abortion,social,0,,,,
naes2004_civilunion,social,1,,,,
naes2004_guncontrol,social,1,,,,
naes2004_schoolvouchers,social,0,,,,
naes2004_stategaymarriage,social,0,,,,
nes_abortion2,social,0,,,,
nes_protectgays,social,1,,,,
nes_school_prayer,social,1,,,,
nes_school_prayer2,social,1,,,,
nes_senate_abortion,social,0,,,,
partial_birth,social,0,,,,
pew_abortion,social,0,,,,
pledge_flag_god,social,0,,,,
religion_in_publicschools,social,0,,,,
school_prayer_general,social,0,,,,
schoolprayer_amendment,social,1,,,,
sex_education,social,0,,,,
teachers_atheist,social,0,,,,
teachers_beards,social,0,,,,
test_tube_babies,social,0,,,,
women_drinking_publicplaces,social,0,,,,
police_authority,social,1,,,,
government_do_more_1985,economic,1,,,,
government_do_more_1986,economic,1,,,,
government_do_more_1987,economic,1,,,,
government_do_more_1990,economic,1,,,,
government_do_more_1992,economic,1,,,,
government_do_more_1993,economic,1,,,,
government_do_more_1994,economic,1,,,,
government_do_more_1995,economic,1,,,,
government_do_more_1996,economic,1,,,,
government_do_more_1997,economic,1,,,,
government_do_more_1998,economic,1,,,,
government_do_more_1999,economic,1,,,,
government_do_more_2000,economic,1,,,,
government_do_more_2001,economic,1,,,,
government_do_more_2002,economic,1,,,,
government_do_more_2003,economic,1,,,,
government_do_more_2008,economic,1,,,,
government_do_more_2009,economic,1,,,,
government_do_more_2010,economic,1,,,,
government_do_more_2011,economic,1,,,,
government_do_more_2012,economic,1,,,,
government_do_more_2013,economic,1,,,,
government_do_more_2014,economic,1,,,,
